Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
65285.98,5.3,7.13,3.26,22983.42,799661.23
73451.31,5.01,5.42,2.89,17444.37,762583.88
61528.19,5.35,6.77,1.28,40893.09,1058020.76
64713.57,6.08,8.8,5.05,42093.99,1394499.5
64514.44,5.76,7.12,3.29,42044.09,1232701.56
55837.74,6.68,6.42,5.09,27139.43,901227.08
73773.15,7.27,5.21,4.46,46147.07,1555512.6
63580.11,5.01,8.38,4.73,43177.78,1312047.56
68716.16,5.25,6.92,3.42,36235.4,1070306.92
73706.8,4.56,5.22,3.04,34606.47,978526.4
73342.13,7.99,6.06,4.09,29720.53,1540402.74
75674.67,6.28,5.7,5.11,38070.21,1271539.02
67533.34,6.46,6.86,3.92,52214.18,1436315.09
64071.49,4.65,7.2,3.12,47456.23,1083300.07
67733.36,5.98,6.48,2.51,33620.11,997694.87
50599.39,6.48,7.77,4.23,41508.82,1162128.55
53159.68,5.73,7.07,3.3,25231.31,855223.39
54485.67,7.04,8.06,3.89,43408.92,1522191.09
57954.34,8.27,6.63,3.69,27916.74,1135469.93
72843.79,5.04,10.07,3.43,43013.79,1762194.82
58932.4,4.97,6.42,4.34,65631.04,1281939.67
64552.54,5.11,6.08,4.66,30505.63,603305.48
82430.18,7.57,5.95,6.4,65171.82,2113435.73
64785.94,7.01,6.78,4.91,41032.56,1361249.69
76443.44,5.85,5.25,5.94,28722.97,1215669.89
58632.5,6.02,7.29,2.97,28268.1,886343.11
66393.45,5.17,5.07,2.01,59635.18,1261401.88
58457.66,6.86,7.15,3.96,41055.91,1278012.36
64969.59,5.6,5.63,5.04,30543.93,734439.3
77539.0,5.72,6.6,4.84,34143.65,1287250.66
50173.22,6.58,7.6,5.47,40438.45,1267061.36
73213.09,5.79,9.32,1.0,36076.45,1594486.98
71116.79,5.75,5.9,5.52,39596.05,1297780.15
62250.55,5.99,6.84,4.39,53766.09,1468413.21
53170.92,6.77,6.26,2.08,24967.89,756514.76
69351.76,7.61,6.11,4.87,42560.96,1415461.09
62939.67,6.56,6.27,4.19,35439.49,1027632.96
71062.86,6.78,7.82,4.45,31209.97,1623999.73
68815.9,5.78,6.5,5.21,46804.33,1360077.1
85654.76,5.28,9.26,4.51,21658.35,1404417.49
66031.95,6.63,7.41,2.17,12676.15,1092119.62
57674.56,6.15,5.97,3.8,38391.49,791227.98
70493.72,4.57,6.62,1.99,34791.57,924146.7
70927.72,5.66,6.18,4.78,22735.99,972039.48
83069.22,5.9,7.8,5.7,19185.77,1662527.87
77483.62,5.47,5.33,2.45,55324.54,1543254.96
72386.53,7.45,5.64,3.15,40758.42,1444327.29
84178.88,6.46,6.39,2.89,36357.98,1611071.82
55913.16,7.34,7.68,3.42,57950.81,1724111.81
61764.53,6.24,8.24,4.49,46306.97,1613415.25
58707.55,6.06,8.38,3.44,53723.07,1479451.25
64428.41,5.05,7.53,4.78,24451.96,893691.46
53910.28,5.99,6.91,5.29,24080.38,680537.18
75352.44,5.99,7.79,5.34,42287.47,1676234.01
66214.55,4.63,5.83,2.6,40276.9,1015440.6
52907.15,5.45,5.13,5.68,48565.9,614652.16
57758.96,5.66,7.43,5.78,19977.42,755066.28
71924.43,6.39,5.97,5.89,43146.2,1272290.3
77515.75,6.44,6.92,3.79,45981.49,1690420.48
89864.16,5.4,7.11,3.06,45454.51,1660688.95
99638.95,6.44,7.24,2.77,32126.56,1845669.34
72999.78,5.8,7.94,2.62,41310.26,1635817.36
58036.5,3.14,7.83,3.99,28464.6,543990.11
45859.65,5.5,7.19,5.02,33255.51,676864.46
71436.27,7.05,6.54,5.59,25811.86,1339575.65
59918.67,4.32,7.1,3.38,28633.24,802736.04
64156.12,6.09,6.39,3.93,33771.45,1038985.9
62059.27,7.55,6.79,3.85,31290.45,1246566.44
67082.45,5.23,9.63,3.2,28631.99,1278887.08
79944.22,5.98,7.17,4.88,23264.5,1449082.72
70256.82,4.69,7.44,4.43,55626.88,1437561.58
66892.27,7.59,6.28,4.15,31194.91,1304390.68
57545.0,5.9,8.02,4.42,39437.91,1232478.75
50734.23,6.03,7.76,4.74,18705.2,904824.05
63399.93,7.32,7.77,4.72,49637.67,1684768.49
68009.79,6.63,7.21,2.95,37822.07,1384909.3
87425.6,5.11,8.03,5.08,31757.55,1788136.91
69971.47,5.34,8.27,4.29,31844.22,1417239.16
79057.04,6.47,7.28,3.45,44791.89,1856399.63
63261.51,5.36,6.87,4.27,6853.53,542942.79
55953.87,3.88,7.89,4.4,27982.88,579347.89
58296.79,5.93,6.08,5.31,34981.09,728404.04
60853.54,4.51,6.26,2.69,34866.69,846255.1
91268.23,7.58,6.94,5.61,61028.22,2400971.8
59828.66,6.16,5.23,4.01,32812.38,662630.13
77519.62,5.08,7.83,3.36,45991.0,1682825.44
58959.6,5.29,6.02,3.32,54143.7,1066599.81
78511.71,4.11,6.51,2.75,42818.84,1192951.14
72685.81,4.89,6.77,1.84,29475.38,892781.38
66913.55,6.99,7.03,4.81,23414.46,1259145.2
68148.55,8.19,6.64,6.42,43561.3,1747051.66
61604.27,6.7,6.92,1.99,52489.88,1465651.32
73337.24,5.89,6.93,2.81,41581.68,1385204.5
63733.79,5.55,6.54,4.9,48404.97,1489223.79
55520.49,5.03,6.21,3.92,61888.07,1006792.56
54962.74,8.02,8.08,5.01,44473.94,1499257.77
70422.44,5.79,4.86,3.85,25239.22,921731.4
85412.95,8.07,6.78,3.27,36669.78,1852125.17
70288.19,7.36,6.52,3.7,49762.39,1569993.24
67318.55,4.26,7.41,1.05,33693.86,1077740.28
71629.33,5.32,5.52,2.57,51107.13,1329990.02
82502.37,5.32,6.49,5.15,35498.65,1437950.42
70921.18,5.9,6.89,5.45,39481.4,1364643.55
64203.34,5.92,8.07,5.71,32681.9,1177757.03
80373.83,8.95,7.33,4.52,37746.4,2048722.27
73152.69,4.91,5.79,1.21,38271.54,1062387.14
84951.09,6.21,6.5,3.2,20198.22,1436689.01
70535.91,6.59,7.88,5.61,31780.19,1498965.45
55532.61,5.98,5.78,5.98,23923.41,565028.76
54001.16,6.09,6.91,5.66,32122.45,984078.86
86178.59,4.95,6.98,3.69,28271.0,1186672.8
86953.83,6.09,6.6,2.37,46205.33,1748971.28
66669.68,6.49,9.71,3.93,46320.24,1681787.42
64498.99,6.3,6.57,4.0,41723.92,1181049.5
84159.07,6.54,7.44,5.91,23581.58,1756780.73
56784.11,7.38,6.22,4.26,35189.01,987741.73
59047.0,6.91,7.52,4.0,22792.12,994687.54
75439.58,6.05,7.87,4.07,34701.11,1562997.84
64377.3,4.82,6.4,4.47,42588.66,966443.15
68528.41,5.39,6.93,4.75,46009.64,1329482.16
66841.03,5.76,6.09,3.09,40855.98,1296294.34
72180.87,6.23,5.83,2.68,48653.33,1497037.35
83583.94,5.51,8.04,5.67,38741.08,1636807.25
69548.45,5.05,6.43,1.96,33844.91,1014576.67
75446.1,4.8,4.55,5.99,44834.08,1114794.59
46732.27,4.35,8.77,1.63,45159.78,941687.9
68063.76,5.75,6.18,3.26,30960.6,1040718.91
59595.85,4.53,6.74,5.18,39924.4,901688.06
55592.89,4.99,8.65,3.98,33241.94,1019881.07
59223.65,5.59,6.85,2.36,16227.7,668729.32
65021.91,4.66,6.83,4.5,40531.06,961254.82
78344.69,6.36,5.75,4.06,23314.87,1267033.48
54446.31,6.71,5.34,3.71,39420.63,960492.7
68909.47,5.44,6.82,3.21,20925.08,723341.29
63422.72,5.55,7.36,3.94,29020.3,939206.85
65090.66,6.51,7.3,3.26,31859.53,1202211.45
79270.39,5.27,6.5,6.97,48090.12,1490881.06
74318.23,5.21,7.01,3.68,30867.86,1305551.48
82836.99,7.16,5.13,3.52,25493.91,1698918.51
66936.28,6.86,7.45,3.31,39779.12,1239933.56
61165.64,6.58,7.15,6.17,34009.54,1228917.15
66197.11,6.9,8.98,1.96,44009.31,1731030.13
71167.53,4.02,7.0,4.42,26120.09,833524.25
70464.92,7.32,6.04,3.69,38255.72,1497143.93
57025.59,6.37,6.94,2.23,60673.45,1459743.69
69547.44,6.98,6.66,2.97,33788.16,1337356.86
71015.46,6.36,7.43,4.37,38016.3,1468453.28
95414.24,6.03,7.02,2.92,19677.18,1658204.92
88586.41,5.71,5.72,4.3,27697.18,1416050.41
59489.13,6.34,5.34,6.11,40725.73,1023731.06
65520.07,5.67,7.26,4.19,32888.76,1076000.68
52985.64,6.84,8.39,2.19,42261.25,1613792.59
62287.24,4.41,7.07,2.94,40380.52,981957.19
71946.72,5.44,7.81,3.63,23081.56,1228797.06
81434.99,8.0,8.01,3.55,46239.91,2102081.42
60812.42,5.36,7.26,4.17,23829.35,863771.75
61611.11,5.74,6.17,4.36,28571.15,882377.53
45697.19,5.11,7.19,6.11,38440.64,505133.77
66849.31,6.31,8.21,3.98,51715.7,1598374.69
57259.79,5.25,7.53,2.56,26199.53,741464.05
62940.23,5.8,7.75,5.4,37628.77,1174187.6
59237.42,6.82,6.52,5.53,37711.5,1067996.24
67578.35,5.29,6.79,4.27,42687.3,1211946.55
49849.13,6.76,6.87,3.68,47914.5,1295894.28
52947.23,6.79,6.94,4.75,32152.55,1012668.77
91276.52,7.02,8.17,3.72,46205.6,2104642.64
54861.65,6.12,4.62,1.45,49366.44,797533.21
56893.46,9.19,7.02,4.67,53868.79,1779506.38
88160.82,7.02,6.91,5.08,41144.59,1786907.04
99545.21,6.3,5.6,5.75,37725.56,1875728.27
56096.44,5.11,7.67,3.08,31452.75,1001228.18
64658.2,5.88,6.26,4.26,21682.56,801249.82
72223.3,7.39,6.63,4.28,33404.31,1499956.72
87007.46,7.67,8.86,4.09,37277.95,2143468.68
58065.08,7.44,8.01,4.12,35076.29,1326869.62
65968.83,6.76,7.57,4.03,42095.35,1518973.06
76867.86,4.74,7.37,4.24,21730.33,1003781.02
73216.74,6.46,6.82,4.89,34356.91,1320076.07
64573.93,4.75,9.01,5.48,55961.09,1369030.42
67156.71,4.51,7.8,3.05,46044.32,1248663.37
53929.36,6.22,6.23,3.77,42278.69,1098208.67
66044.54,6.5,5.58,3.46,40040.52,1253881.06
65743.84,6.87,7.56,3.28,32536.09,1515469.13
71057.47,6.47,6.93,1.99,18753.85,1057654.1
62664.32,6.51,5.55,4.01,40700.0,1204762.92
73608.66,5.01,7.42,4.57,11862.35,790496.68
79376.53,5.88,6.72,3.79,32931.86,1470864.93
70239.57,4.49,7.53,3.97,36126.68,1287810.47
72332.02,4.0,7.44,4.49,31724.63,1061091.94
69149.53,6.71,6.38,5.72,57713.98,1823238.15
68583.9,5.23,7.63,3.46,54269.6,1437439.67
60892.63,6.84,6.49,2.54,46413.66,1321410.4
71956.2,7.08,6.55,3.87,26979.13,1235356.15
67546.12,5.37,6.45,6.3,55233.05,1378365.98
90891.99,6.56,8.13,2.55,42306.27,2099282.21
85351.82,5.33,6.71,4.78,26813.85,1348769.74
72695.35,4.15,8.38,5.4,36487.72,1186575.6
60450.34,6.1,8.79,1.07,45676.86,1420856.36
56726.92,5.51,6.24,4.48,30219.13,790711.92
81278.2,5.54,4.04,4.72,37557.79,1116358.58
71383.38,7.94,8.04,3.65,39304.03,1709032.74
73700.37,4.47,6.64,3.18,25237.02,730018.34
49989.2,6.36,6.12,3.25,33482.33,721215.58
78467.64,5.0,6.4,3.58,25985.28,952184.59
73426.21,6.88,6.57,3.61,44784.53,1514704.43
56748.03,6.28,8.3,3.38,27150.55,1040674.76
63557.49,6.36,7.15,3.56,39059.15,1269260.54
71393.7,5.04,8.29,5.44,22365.7,1060187.05
69142.19,5.22,7.49,2.49,24913.64,1260677.11
65469.04,6.9,6.68,1.83,24432.83,1003369.67
67480.02,7.73,6.6,5.46,33288.97,1564301.78
65897.43,6.46,7.56,3.74,37953.29,1367471.56
70209.01,5.09,7.82,3.5,39783.2,1246089.49
84266.16,6.32,8.0,3.84,18573.57,1573761.14
41227.55,8.38,6.73,4.24,34489.25,971332.44
66058.65,6.08,7.17,3.34,28713.57,1056067.57
70464.27,7.43,7.58,4.6,41464.72,1878542.23
71737.7,5.25,6.6,2.8,33506.71,905195.61
64619.13,5.94,5.84,3.61,35360.75,998148.92
49859.86,6.59,6.18,1.26,28769.38,766172.43
72078.78,6.37,6.75,5.42,53280.13,1782218.35
86993.1,5.22,7.66,3.76,23423.47,1386620.17
52235.11,5.18,8.26,4.8,32195.64,1147738.54
77789.68,6.96,5.62,4.57,37230.91,1552581.09
65081.58,7.16,6.39,4.66,33668.25,1039278.02
67929.41,7.48,6.63,3.97,28580.94,1194386.06
57361.21,7.77,7.79,4.46,18182.04,1168781.37
65018.37,6.11,6.46,2.8,29299.77,926141.89
82438.88,5.67,6.56,2.54,26641.11,1368534.64
74792.94,7.32,5.56,3.86,52829.3,1654180.91
87045.98,6.69,7.48,3.14,58640.11,2059914.56
81131.86,5.01,6.83,5.73,35658.89,1258325.4
73262.79,4.96,6.33,4.44,22220.79,994288.34
87169.85,6.47,6.73,3.1,43488.09,1622014.83
73261.79,5.8,8.13,3.65,26425.82,1434029.43
77407.7,5.95,5.98,4.14,30712.48,1354294.51
65422.15,7.04,6.14,3.9,29921.67,1141912.94
69292.25,6.73,8.25,4.31,31195.48,1345335.76
61149.86,7.3,7.07,4.06,32642.4,1335389.15
79129.99,4.07,7.67,2.27,23126.49,1012278.08
56024.64,6.23,7.4,1.33,29195.51,824271.34
76921.29,6.67,6.95,3.52,46285.95,1899005.0
66551.04,4.47,6.64,4.67,35829.95,841420.87
81066.15,5.33,7.83,3.53,37406.74,1402761.05
76585.76,5.15,8.16,5.5,14007.94,1142033.98
87987.45,6.0,8.09,3.92,45569.75,1958028.03
76371.6,7.59,5.79,5.65,29359.22,1602716.17
51828.19,7.98,8.31,5.4,47318.39,1531664.51
67869.41,5.17,6.63,5.27,37694.18,1065518.44
56091.75,6.5,6.23,2.5,30584.62,936587.91
63059.17,6.53,6.82,4.0,19510.94,985654.85
84689.67,6.36,7.83,5.48,57748.35,2134163.19
75377.84,6.37,7.54,4.31,44135.23,1694335.88
61133.8,6.28,6.73,4.66,44729.01,1273720.9
57778.8,7.65,7.84,2.27,54214.86,1641055.18
68932.39,7.07,7.13,6.34,38387.06,1594377.91
55616.9,4.93,6.41,3.01,49585.57,911762.72
61429.99,6.77,6.27,1.53,31413.14,1157925.8
71908.4,6.86,7.4,3.55,43483.47,1783560.61
80896.32,6.29,6.91,1.0,29909.29,1403108.16
75071.18,7.1,5.6,2.65,31162.2,1582465.73
44162.44,6.17,7.85,7.13,37125.73,828782.56
71826.94,6.18,6.5,3.51,23584.07,1047868.03
69350.73,6.1,8.6,2.22,39432.54,1599339.55
72994.24,3.98,5.57,4.01,33066.81,859117.3
85808.56,5.9,6.81,2.88,16436.46,1307268.68
46593.01,5.32,6.28,5.04,31620.71,615569.46
62283.02,4.81,6.0,2.89,32738.33,789861.97
74880.88,7.4,6.5,4.31,44627.4,1911976.98
51726.37,6.48,8.78,2.57,38993.59,1239452.18
84313.66,5.95,7.13,7.18,50529.16,1759602.43
72508.94,5.42,6.19,4.6,41325.09,1187655.62
77605.89,6.27,5.14,3.8,30664.94,1247531.22
62497.88,6.96,5.25,3.62,35583.78,1124585.57
77256.09,5.16,6.45,3.3,32708.62,1220203.2
79970.77,5.98,6.35,3.04,41006.13,1419957.6
71065.01,6.84,6.76,3.01,36756.73,1551822.41
71081.24,4.06,4.7,6.04,29924.55,831102.15
71464.32,5.92,6.9,3.3,36248.36,1311487.12
59381.47,5.56,8.03,1.36,40740.22,1370852.48
67010.64,5.85,8.63,2.55,26174.27,1343305.72
66957.41,5.48,5.08,5.12,39309.31,1190379.36
72669.21,6.12,6.18,3.67,20494.57,1087441.15
79239.13,7.88,6.13,3.82,47135.8,1883864.75
57301.12,5.66,7.14,5.42,41395.27,1157833.27
67250.65,6.27,5.76,3.02,52333.63,1336123.84
84372.35,7.95,8.69,4.76,25080.78,2012495.38
60657.84,5.44,7.03,3.16,47412.51,1315343.83
59819.46,7.78,6.87,4.69,45450.62,1583596.23
70739.18,5.99,8.6,3.5,34354.35,1479348.35
77582.46,7.74,6.97,3.68,32424.81,1710960.1
68704.78,6.72,7.39,4.99,25392.93,1355992.84
82747.06,6.28,6.23,4.9,22805.84,1401254.17
77714.71,5.92,5.61,3.78,28707.0,1245631.35
77555.12,5.36,6.37,3.4,23699.43,1127081.77
74488.77,6.06,9.2,5.95,52000.55,1839614.52
93391.13,6.87,7.63,4.7,21255.13,1733430.63
66396.39,5.97,7.27,3.5,37640.79,1319725.61
47229.46,5.67,6.0,3.18,40487.37,783713.55
85681.14,5.73,7.91,5.24,39711.18,1834116.96
63704.84,6.96,5.62,4.12,40582.49,1156634.61
69732.79,7.19,5.41,3.78,45556.02,1425361.39
82540.19,5.32,6.43,4.12,31737.22,1206210.95
51506.12,5.32,8.96,4.4,37031.94,907893.33
55242.94,6.36,8.91,3.91,33249.4,1239989.06
51516.58,7.49,6.53,5.46,49090.57,1429158.74
60119.1,7.11,6.31,5.53,57004.17,1519314.97
73268.65,4.74,5.33,4.63,24313.21,975359.63
74169.79,5.72,7.07,5.67,16004.32,1035922.73
71527.53,5.06,7.15,3.99,41811.63,1288846.95
53525.74,5.72,7.79,4.83,46786.45,1062285.36
43961.92,7.57,7.91,5.22,55586.0,1374612.12
69162.3,4.57,6.79,5.23,43486.56,1020275.15
63554.81,4.38,7.55,5.11,50016.13,1024081.31
73479.13,5.16,6.28,4.76,52639.1,1287156.74
76064.42,6.26,7.53,6.39,50700.92,1776856.85
70056.38,6.59,6.48,3.32,44908.52,1395226.01
76684.5,6.41,7.45,3.79,23437.07,1325584.2
71025.93,7.14,7.37,3.72,36080.01,1596774.38
74232.43,4.23,7.06,3.53,39140.88,1000600.43
61072.59,7.16,7.79,1.53,35172.39,1383960.69
66668.7,5.67,5.4,5.67,35784.8,1065614.9
70680.24,6.7,5.91,2.72,51717.74,1627032.09
77328.19,4.67,6.72,4.19,28651.45,1145538.89
64386.51,5.98,5.53,2.23,44093.59,1111357.94
74137.6,6.21,6.58,4.74,39303.68,1362586.28
65749.69,7.12,6.61,3.01,27651.99,1208213.43
67330.24,4.41,8.31,2.58,25477.73,1144162.1
77424.01,6.01,7.13,4.22,19277.45,1251543.72
47340.96,4.91,8.03,3.12,40982.35,822017.01
54765.2,6.48,7.29,3.27,35535.3,1134886.68
52785.87,6.75,6.45,4.19,27967.16,869131.61
43711.32,7.25,7.13,4.96,17542.66,700392.56
61354.06,5.45,7.73,2.97,40457.66,1153342.84
76570.47,6.9,8.2,2.76,34438.76,1666237.84
65546.71,7.33,6.86,4.01,29079.59,1399038.95
70691.05,4.35,5.33,4.64,26594.9,504369.43
80191.88,6.59,5.26,5.78,33795.14,1421372.45
82733.48,6.93,6.66,2.66,40827.72,1707234.75
67846.13,5.72,4.63,3.59,32887.92,680456.08
83009.52,4.78,8.8,5.43,24366.88,1329297.34
69564.89,6.91,7.59,6.41,35586.11,1509118.98
59658.01,4.79,6.35,2.76,46540.06,967521.13
62247.88,5.8,5.87,3.07,36562.66,1043572.49
52803.44,5.94,8.03,4.45,36842.1,1140867.97
59117.27,6.69,5.87,3.27,32930.74,837522.8
64767.26,5.36,5.96,3.05,27333.09,859618.89
77147.61,5.3,6.22,4.28,27003.24,1180650.17
86922.96,6.08,7.11,5.89,19669.1,1468038.54
53851.71,6.98,7.62,2.37,47886.67,1415248.79
72769.76,8.24,8.19,5.82,40752.86,1757149.92
57492.88,4.49,8.05,3.27,36981.68,824886.34
73642.32,6.29,6.99,4.41,39096.66,1609991.41
67185.88,4.9,8.02,5.94,39532.83,1215105.32
49069.21,6.99,6.31,4.38,28872.63,1043346.25
78476.79,5.05,5.15,3.61,32934.77,925803.27
62134.9,5.31,6.31,4.86,31456.48,1023841.84
62892.69,5.4,6.18,3.77,61088.88,1267569.4
57181.58,5.9,6.35,4.62,46288.51,1174040.87
61609.65,6.3,6.02,3.73,37829.23,1047154.34
73143.46,6.46,6.52,5.04,49720.39,1607715.99
66566.03,5.97,7.62,2.27,48466.91,1542045.87
72085.88,4.66,8.72,2.73,22461.3,1065689.08
72440.36,6.7,5.25,2.25,33951.18,1298320.11
82658.61,5.93,5.69,3.91,36000.98,1373791.13
64929.59,7.13,6.19,2.1,42232.41,1385567.7
52842.65,5.28,7.76,3.13,33939.87,608254.74
79957.46,4.39,6.78,2.62,35185.08,1174810.45
65050.0,5.95,6.26,5.8,31584.11,1158258.5
80462.33,7.26,7.71,2.76,46573.68,2046458.07
72669.03,6.14,7.96,2.4,21837.85,1366444.88
67185.34,5.78,6.97,4.29,31921.5,1144507.01
72300.25,5.12,6.17,6.05,17864.52,1000376.44
89376.89,7.72,7.26,3.84,25943.83,1906581.15
90719.46,4.96,6.75,3.93,39310.99,1529406.69
69322.46,5.26,6.75,5.57,39499.33,1276283.32
70290.31,6.54,6.47,5.06,33054.57,1381494.38
80053.57,4.14,7.92,4.5,47318.55,1560743.89
59569.94,7.24,7.24,3.26,49601.88,1473801.02
72132.86,6.6,8.04,4.54,35475.92,1592052.89
68307.35,6.87,8.34,2.31,38648.55,1745325.35
71928.63,6.53,7.45,3.21,31671.5,1464331.06
59700.96,5.82,6.48,5.74,42384.86,939327.79
51641.39,4.93,8.04,5.58,24311.95,619984.94
46489.14,5.84,7.46,4.52,53986.66,1032019.09
56673.92,5.01,9.62,1.61,47477.35,1264677.57
63694.44,6.46,7.3,2.49,24263.66,883987.35
65458.16,6.78,7.69,3.14,28331.99,1485373.07
89230.01,7.44,7.28,3.77,40343.89,1962526.34
80370.68,6.35,6.89,2.44,32805.86,1433978.02
58329.03,6.9,6.73,3.68,41568.15,1052657.59
72288.88,5.69,7.29,6.15,32595.99,1373209.55
64244.36,5.51,7.52,4.47,51296.76,1383126.73
65552.25,6.45,8.16,4.25,36245.45,1388484.75
70558.2,5.6,7.3,2.73,60187.01,1617673.58
75182.13,6.25,6.52,1.96,42144.55,1540871.26
64967.18,4.93,6.66,2.47,22770.16,722001.93
79921.53,5.11,5.65,1.91,56871.48,1316001.77
56412.22,6.61,8.67,4.07,47067.39,1350674.05
68650.56,6.86,6.44,4.45,39935.97,1270576.64
96269.01,5.0,7.97,2.79,42580.84,1944202.76
70960.58,6.64,7.27,4.16,24361.71,1375814.85
83858.2,5.45,7.3,5.79,18254.57,1425899.32
69558.42,6.0,6.87,6.39,35748.63,1113073.64
74772.92,7.38,6.19,4.93,49847.3,1806125.26
67977.8,6.78,6.01,3.76,40090.41,1264062.98
66766.8,6.77,8.74,4.89,53126.53,2123274.09
60275.28,7.87,7.11,5.64,49276.12,1754831.13
73169.15,5.28,8.13,1.51,36367.54,1557764.35
59507.32,5.0,8.39,5.8,47911.79,1346499.39
75676.81,5.27,6.58,3.31,51274.76,1518523.58
80149.99,5.73,7.42,3.32,35367.19,1473216.39
72489.49,3.65,7.04,3.54,34041.28,881639.4
65532.16,5.77,5.82,4.37,37556.97,967961.24
73421.37,5.44,6.8,2.61,12224.81,954895.65
65293.16,6.76,7.58,3.63,38946.29,1594044.83
78554.06,6.33,6.49,4.63,43313.35,1552388.06
49063.87,5.39,6.66,4.25,37597.27,660682.78
65006.1,6.56,6.81,4.45,39583.89,1170000.7
47364.93,6.7,9.12,3.58,35731.5,1205999.26
